OrderID,OrderDate,Category,SubCategory,Region,Segment,Quantity,Sales,Profit
ORD-1310,2024-01-14,Technology,Printers,West,Corporate,3,1591.18,284.16
ORD-6980,2024-01-14,Furniture,Chairs,South,Home Office,5,1720.29,263.47
ORD-3960,2024-01-14,Office Supplies,Storage,South,Consumer,1,41.86,6.14
ORD-5901,2024-01-14,Technology,Accessories,South,Corporate,1,442.42,80.41
ORD-4524,2024-01-14,Office Supplies,Paper,East,Consumer,3,137.05,29.03
ORD-5931,2024-01-14,Furniture,Chairs,West,Corporate,5,1273.44,106.91
ORD-2714,2024-01-14,Office Supplies,Paper,South,Consumer,4,166.28,47.07
ORD-1191,2024-01-14,Furniture,Tables,South,Consumer,2,666.19,100.64
ORD-2277,2024-01-14,Office Supplies,Storage,South,Consumer,1,39.5,6.34
ORD-4214,2024-01-14,Office Supplies,Storage,Central,Corporate,2,92.4,26.4
ORD-2647,2024-01-15,Office Supplies,Binders,East,Home Office,7,259.84,61.52
ORD-5513,2024-01-15,Furniture,Bookcases,Central,Consumer,3,885.35,135.47
ORD-4339,2024-01-15,Furniture,Desks,West,Consumer,6,1744.28,191.7
ORD-6807,2024-01-15,Technology,Accessories,South,Corporate,6,2551.7,282.25
ORD-6229,2024-01-15,Technology,Monitors,South,Corporate,2,946.98,140.04
ORD-5883,2024-01-15,Technology,Accessories,West,Home Office,7,2559.32,462.85
ORD-4742,2024-01-15,Technology,Monitors,South,Corporate,1,498.44,116.39
ORD-1838,2024-01-16,Technology,Printers,West,Home Office,1,452.56,79.62
ORD-5409,2024-01-16,Furniture,Chairs,West,Corporate,7,1775.23,275.53
ORD-1199,2024-01-16,Office Supplies,Paper,South,Consumer,3,127.22,30.12
ORD-1633,2024-01-16,Technology,Laptops,East,Consumer,5,2431.9,364.18
ORD-1271,2024-01-16,Technology,Accessories,East,Home Office,1,535.68,102.9
ORD-5547,2024-01-16,Furniture,Chairs,East,Corporate,5,1526.09,237.96
ORD-3477,2024-01-16,Office Supplies,Pens,Central,Corporate,1,42.8,7.27
ORD-4619,2024-01-16,Technology,Monitors,West,Corporate,5,2380.47,552.27
ORD-3047,2024-01-16,Office Supplies,Paper,South,Home Office,3,107.38,21.15
ORD-6690,2024-01-16,Office Supplies,Binders,Central,Corporate,6,194.14,48.85
ORD-4848,2024-01-16,Technology,Monitors,East,Home Office,7,2628.95,384.63
ORD-2476,2024-01-17,Furniture,Desks,South,Home Office,5,1650.76,212.94
ORD-5765,2024-01-17,Office Supplies,Binders,West,Corporate,7,332.68,91.61
ORD-5475,2024-01-17,Office Supplies,Paper,Central,Consumer,1,38.38,6.41
ORD-3101,2024-01-17,Office Supplies,Binders,Central,Consumer,3,129.74,19.46
ORD-5102,2024-01-17,Office Supplies,Binders,East,Home Office,6,206.15,41.96
ORD-5049,2024-01-17,Furniture,Bookcases,South,Consumer,1,324.61,43.43
ORD-3163,2024-01-17,Technology,Laptops,Central,Consumer,4,2119.93,275.19
ORD-4876,2024-01-17,Office Supplies,Storage,East,Consumer,6,239.53,34.27
ORD-4761,2024-01-17,Technology,Accessories,South,Consumer,6,2471.32,371.05
ORD-6150,2024-01-18,Office Supplies,Storage,West,Corporate,2,68.2,10.37
ORD-4787,2024-01-18,Technology,Printers,West,Home Office,3,1347.13,225.7
ORD-2149,2024-01-18,Furniture,Tables,East,Corporate,7,1900.66,163.15
ORD-5106,2024-01-18,Technology,Laptops,West,Home Office,6,2684.57,401.04
ORD-2599,2024-01-18,Furniture,Chairs,South,Corporate,6,1480.02,167.32
ORD-2754,2024-01-18,Furniture,Desks,South,Consumer,4,1097.37,102.25
ORD-5162,2024-01-18,Technology,Accessories,East,Home Office,5,2065.37,392.87
ORD-3086,2024-01-19,Office Supplies,Paper,West,Consumer,3,103.03,22.86
ORD-4823,2024-01-19,Furniture,Chairs,East,Consumer,6,1641.32,148.17
ORD-1691,2024-01-19,Office Supplies,Storage,Central,Corporate,3,107.93,27.69
ORD-5874,2024-01-19,Technology,Laptops,South,Consumer,2,798.71,97.63
ORD-4989,2024-01-19,Technology,Laptops,Central,Consumer,3,1374.3,296.65
ORD-1358,2024-01-19,Office Supplies,Storage,Central,Home Office,7,232.03,41.75
ORD-1734,2024-01-19,Office Supplies,Paper,Central,Corporate,1,41.76,8.0
ORD-4666,2024-01-19,Technology,Accessories,East,Consumer,6,2318.26,513.75
ORD-1541,2024-01-19,Technology,Laptops,West,Home Office,7,2851.69,308.22
ORD-6148,2024-01-19,Technology,Monitors,West,Corporate,1,524.4,59.45
ORD-2811,2024-01-20,Furniture,Desks,Central,Corporate,7,2484.47,185.18
ORD-6627,2024-01-20,Technology,Monitors,West,Home Office,4,1883.21,284.58
ORD-6502,2024-01-20,Office Supplies,Storage,East,Corporate,3,125.02,35.49
ORD-6745,2024-01-20,Office Supplies,Paper,Central,Consumer,5,184.76,44.97
ORD-6094,2024-01-20,Technology,Printers,East,Consumer,7,3235.16,470.77
ORD-1330,2024-01-20,Office Supplies,Binders,South,Consumer,3,142.69,34.2
ORD-3279,2024-01-21,Technology,Monitors,West,Home Office,2,975.84,226.09
ORD-4191,2024-01-21,Furniture,Desks,South,Consumer,4,1408.05,143.02
ORD-3875,2024-01-22,Office Supplies,Storage,South,Home Office,7,266.98,50.87
ORD-2360,2024-01-22,Furniture,Desks,South,Corporate,2,702.61,68.75
ORD-2823,2024-01-22,Technology,Monitors,Central,Home Office,4,1648.28,354.48
ORD-2251,2024-01-22,Office Supplies,Binders,South,Home Office,3,137.61,36.34
ORD-5756,2024-01-22,Furniture,Chairs,South,Home Office,3,819.99,100.62
ORD-5401,2024-01-22,Office Supplies,Paper,East,Consumer,5,223.03,44.18
ORD-5708,2024-01-22,Technology,Laptops,East,Home Office,2,957.42,211.2
ORD-4103,2024-01-22,Office Supplies,Pens,Central,Home Office,4,188.4,44.73
ORD-3509,2024-01-23,Office Supplies,Binders,West,Home Office,6,263.88,59.96
ORD-6549,2024-01-23,Technology,Printers,East,Home Office,1,429.77,75.49
ORD-6451,2024-01-23,Office Supplies,Paper,South,Home Office,5,163.35,43.38
ORD-2315,2024-01-23,Office Supplies,Storage,Central,Consumer,3,140.72,34.78
ORD-1145,2024-01-23,Technology,Printers,South,Home Office,1,449.35,82.32
ORD-3310,2024-01-23,Technology,Monitors,West,Consumer,7,3017.75,540.45
ORD-4155,2024-01-23,Office Supplies,Storage,West,Corporate,4,137.05,29.98
ORD-6680,2024-01-23,Furniture,Tables,East,Home Office,5,1310.35,145.51
ORD-4921,2024-01-23,Office Supplies,Binders,West,Consumer,3,97.02,-22.16
ORD-5265,2024-01-24,Furniture,Bookcases,West,Home Office,6,1751.57,179.32
ORD-1808,2024-01-24,Technology,Printers,West,Home Office,3,1262.51,248.58
ORD-6412,2024-01-24,Office Supplies,Binders,East,Home Office,6,279.65,-68.67
ORD-2379,2024-01-24,Technology,Laptops,South,Home Office,5,2008.67,418.89
ORD-2256,2024-01-24,Furniture,Tables,East,Corporate,3,1020.29,115.43
ORD-3317,2024-01-24,Furniture,Chairs,East,Consumer,5,1374.78,192.36
ORD-3777,2024-01-24,Technology,Accessories,East,Home Office,6,2971.67,350.7
ORD-6157,2024-01-24,Technology,Monitors,East,Home Office,3,1110.14,217.98
ORD-4773,2024-01-24,Office Supplies,Paper,East,Home Office,6,247.92,33.1
ORD-2185,2024-01-24,Office Supplies,Pens,East,Corporate,7,284.88,54.58
ORD-3014,2024-01-24,Office Supplies,Storage,East,Corporate,2,90.0,23.7
ORD-1385,2024-01-25,Technology,Printers,East,Consumer,6,2362.87,469.49
ORD-4911,2024-01-25,Furniture,Desks,East,Corporate,4,1168.03,180.33
ORD-1316,2024-01-25,Furniture,Tables,South,Home Office,5,1464.19,181.1
ORD-5668,2024-01-25,Office Supplies,Storage,Central,Corporate,6,261.75,46.64
ORD-3240,2024-01-25,Office Supplies,Paper,East,Consumer,7,271.02,54.03
ORD-6983,2024-01-25,Office Supplies,Pens,East,Corporate,7,262.83,56.17
ORD-1918,2024-01-26,Technology,Laptops,West,Consumer,4,1766.57,199.26
ORD-5725,2024-01-26,Office Supplies,Paper,South,Home Office,3,137.96,19.75
ORD-2998,2024-01-26,Furniture,Bookcases,South,Corporate,1,274.54,25.5
ORD-5399,2024-01-26,Technology,Laptops,Central,Home Office,7,2554.96,506.44
ORD-4875,2024-01-26,Office Supplies,Binders,West,Consumer,4,151.83,25.99
ORD-3013,2024-01-26,Office Supplies,Storage,Central,Corporate,3,118.98,31.7
ORD-2305,2024-01-26,Technology,Printers,West,Home Office,4,1546.85,244.8
ORD-3574,2024-01-27,Office Supplies,Storage,East,Home Office,4,150.56,-30.2
ORD-3453,2024-01-27,Technology,Accessories,West,Corporate,7,3544.44,760.09
ORD-1093,2024-01-27,Technology,Printers,Central,Home Office,7,3164.71,553.97
ORD-2200,2024-01-27,Office Supplies,Paper,East,Consumer,5,161.47,41.32
ORD-4134,2024-01-27,Office Supplies,Pens,East,Corporate,7,300.97,54.66
ORD-4695,2024-01-27,Office Supplies,Pens,South,Home Office,5,223.18,54.67
ORD-2750,2024-01-28,Office Supplies,Pens,Central,Consumer,7,231.84,52.09
ORD-1951,2024-01-28,Office Supplies,Binders,South,Home Office,5,179.45,28.34
ORD-6024,2024-01-28,Technology,Printers,West,Home Office,2,844.92,135.51
ORD-6011,2024-01-28,Technology,Laptops,East,Corporate,3,1248.93,149.75
ORD-3169,2024-01-28,Furniture,Chairs,West,Corporate,4,1214.19,90.38
ORD-6350,2024-01-28,Office Supplies,Paper,Central,Home Office,5,235.04,65.1
ORD-5822,2024-01-28,Furniture,Desks,South,Home Office,4,1054.09,116.64
ORD-5713,2024-01-28,Office Supplies,Storage,East,Corporate,7,270.21,53.53
ORD-6624,2024-01-28,Technology,Laptops,East,Consumer,7,2986.51,576.77
ORD-5231,2024-01-29,Technology,Laptops,West,Home Office,2,729.94,167.4
ORD-2524,2024-01-29,Technology,Monitors,South,Corporate,7,3217.32,360.38
ORD-4212,2024-01-29,Furniture,Desks,West,Corporate,5,1648.91,202.12
ORD-3223,2024-01-29,Furniture,Desks,East,Home Office,7,2106.35,249.37
ORD-5368,2024-01-29,Technology,Monitors,West,Consumer,2,1035.31,215.98
ORD-6760,2024-01-29,Technology,Monitors,West,Corporate,6,2721.39,355.05
ORD-1592,2024-01-29,Furniture,Desks,Central,Consumer,3,929.97,67.84
ORD-1970,2024-01-30,Technology,Accessories,South,Corporate,1,530.68,89.86
ORD-4837,2024-01-30,Office Supplies,Storage,South,Consumer,1,46.17,8.91
ORD-3170,2024-01-30,Office Supplies,Storage,West,Home Office,7,313.58,52.25
ORD-1341,2024-01-30,Office Supplies,Pens,South,Home Office,4,158.06,32.38
ORD-6697,2024-01-30,Office Supplies,Paper,East,Consumer,5,203.66,54.36
ORD-6619,2024-01-30,Office Supplies,Paper,Central,Home Office,6,264.87,46.49
ORD-1776,2024-01-30,Technology,Accessories,East,Consumer,1,537.24,72.18
ORD-1646,2024-01-30,Furniture,Chairs,West,Home Office,6,2113.87,271.57
ORD-6392,2024-01-30,Office Supplies,Storage,West,Home Office,3,101.14,22.37
ORD-1268,2024-01-31,Technology,Printers,East,Consumer,3,1118.48,122.5
ORD-4024,2024-01-31,Office Supplies,Binders,East,Home Office,1,45.83,-9.46
ORD-5163,2024-01-31,Technology,Monitors,South,Consumer,2,788.66,146.58
ORD-3498,2024-02-01,Furniture,Bookcases,South,Consumer,4,1273.5,138.41
ORD-6773,2024-02-01,Office Supplies,Paper,Central,Consumer,4,168.68,26.87
ORD-6522,2024-02-01,Office Supplies,Pens,East,Consumer,6,260.83,55.04
ORD-5745,2024-02-01,Technology,Monitors,Central,Consumer,7,2699.07,456.15
ORD-6059,2024-02-01,Office Supplies,Pens,West,Home Office,5,183.62,36.16
ORD-3238,2024-02-01,Office Supplies,Pens,West,Home Office,7,271.03,53.12
ORD-5805,2024-02-01,Furniture,Tables,Central,Consumer,7,1916.93,156.06
ORD-2654,2024-02-01,Office Supplies,Paper,West,Consumer,3,125.5,25.85
ORD-2978,2024-02-01,Technology,Laptops,Central,Consumer,6,2184.13,283.09
ORD-1493,2024-02-01,Furniture,Bookcases,West,Corporate,3,974.39,100.81
ORD-3389,2024-02-02,Technology,Printers,West,Corporate,6,2655.07,341.35
ORD-3411,2024-02-02,Technology,Monitors,Central,Consumer,6,2384.52,421.21
ORD-1424,2024-02-02,Office Supplies,Paper,Central,Consumer,6,280.17,61.88
ORD-4534,2024-02-02,Furniture,Chairs,Central,Consumer,4,1323.83,139.89
ORD-2420,2024-02-02,Office Supplies,Binders,West,Consumer,6,222.59,50.85
ORD-6009,2024-02-02,Office Supplies,Storage,West,Home Office,2,64.27,17.28
ORD-4870,2024-02-03,Office Supplies,Binders,South,Home Office,4,135.22,23.04
ORD-4093,2024-02-03,Furniture,Desks,Central,Home Office,4,1235.98,159.65
ORD-2801,2024-02-03,Technology,Printers,Central,Consumer,4,2086.64,433.87
ORD-5326,2024-02-03,Office Supplies,Storage,South,Home Office,2,67.5,17.62
ORD-3019,2024-02-03,Technology,Printers,Central,Home Office,4,1703.09,284.88
ORD-1564,2024-02-03,Technology,Printers,South,Home Office,2,758.11,165.27
ORD-3519,2024-02-04,Office Supplies,Binders,East,Consumer,4,144.34,38.15
ORD-5663,2024-02-04,Office Supplies,Pens,West,Corporate,4,168.99,-17.49
ORD-5154,2024-02-04,Technology,Printers,Central,Home Office,4,1708.52,265.22
ORD-1935,2024-02-04,Technology,Monitors,South,Corporate,2,847.78,145.31
ORD-1163,2024-02-04,Furniture,Chairs,East,Corporate,3,1017.43,141.69
ORD-2705,2024-02-04,Office Supplies,Binders,Central,Home Office,3,101.5,13.83
ORD-6370,2024-02-05,Technology,Accessories,South,Consumer,2,947.67,170.7
ORD-5712,2024-02-05,Technology,Printers,Central,Corporate,2,896.83,168.38
ORD-2240,2024-02-05,Technology,Monitors,West,Corporate,5,2207.94,428.84
ORD-3212,2024-02-05,Office Supplies,Storage,West,Home Office,3,103.57,27.14
ORD-4628,2024-02-05,Office Supplies,Binders,East,Home Office,6,248.99,50.2
ORD-3313,2024-02-05,Technology,Monitors,East,Home Office,6,2445.87,487.82
ORD-2800,2024-02-05,Office Supplies,Binders,Central,Corporate,5,167.04,31.31
ORD-6736,2024-02-05,Technology,Laptops,Central,Home Office,2,866.52,147.53
ORD-1343,2024-02-06,Office Supplies,Storage,South,Consumer,2,78.81,13.05
ORD-5508,2024-02-06,Technology,Laptops,West,Corporate,6,2393.87,386.55
ORD-5928,2024-02-06,Furniture,Tables,East,Home Office,4,1106.45,121.36
ORD-5590,2024-02-06,Furniture,Bookcases,East,Home Office,3,1060.74,89.15
ORD-2611,2024-02-06,Technology,Monitors,South,Corporate,5,2549.5,380.17
ORD-3792,2024-02-06,Office Supplies,Paper,West,Home Office,6,239.06,68.16
ORD-4771,2024-02-06,Office Supplies,Pens,East,Corporate,3,140.26,29.25
ORD-1297,2024-02-06,Office Supplies,Pens,East,Consumer,4,176.99,40.0
ORD-4758,2024-02-07,Technology,Accessories,East,Corporate,2,735.7,163.34
ORD-1442,2024-02-07,Technology,Monitors,West,Consumer,3,1144.19,233.82
ORD-1435,2024-02-07,Technology,Accessories,West,Home Office,7,3327.2,533.71
ORD-4574,2024-02-07,Office Supplies,Binders,South,Corporate,3,123.62,18.29
ORD-3078,2024-02-07,Office Supplies,Paper,South,Consumer,2,68.01,11.07
ORD-1814,2024-02-07,Technology,Accessories,East,Consumer,7,2917.7,495.63
ORD-6784,2024-02-07,Technology,Printers,West,Consumer,5,2360.95,404.99
ORD-5687,2024-02-07,Technology,Printers,South,Corporate,7,2813.78,533.15
ORD-4265,2024-02-07,Office Supplies,Storage,East,Consumer,5,217.99,29.88
ORD-3368,2024-02-07,Furniture,Chairs,Central,Home Office,6,1596.41,216.73
ORD-4080,2024-02-07,Furniture,Desks,East,Home Office,3,822.82,113.9
ORD-5740,2024-02-07,Furniture,Tables,East,Corporate,4,1368.76,164.75
ORD-4731,2024-02-08,Office Supplies,Paper,Central,Consumer,3,121.98,30.61
ORD-5576,2024-02-08,Technology,Laptops,Central,Consumer,7,3203.57,623.15
ORD-2415,2024-02-08,Technology,Printers,East,Consumer,5,2338.36,330.45
ORD-2229,2024-02-08,Office Supplies,Pens,East,Home Office,1,45.06,9.32
ORD-4670,2024-02-08,Technology,Laptops,South,Corporate,2,937.95,130.14
ORD-6622,2024-02-08,Office Supplies,Binders,South,Home Office,7,275.74,37.1
ORD-1985,2024-02-08,Office Supplies,Paper,West,Consumer,1,37.18,8.21
ORD-5354,2024-02-09,Office Supplies,Pens,South,Consumer,1,32.4,8.15
ORD-2923,2024-02-09,Office Supplies,Paper,East,Corporate,2,85.36,16.04
ORD-2024,2024-02-09,Office Supplies,Storage,East,Corporate,5,164.38,45.39
ORD-1708,2024-02-09,Technology,Laptops,West,Consumer,2,720.08,160.79
ORD-6504,2024-02-10,Furniture,Chairs,West,Home Office,1,343.23,26.09
ORD-3974,2024-02-10,Office Supplies,Pens,South,Corporate,7,316.66,83.26
ORD-3770,2024-02-10,Technology,Printers,East,Home Office,4,1499.3,323.82
ORD-5316,2024-02-10,Technology,Monitors,South,Home Office,7,3570.57,735.26
ORD-2595,2024-02-11,Furniture,Desks,West,Consumer,6,1681.59,167.01
ORD-5583,2024-02-11,Office Supplies,Pens,South,Corporate,6,223.33,46.07
ORD-5177,2024-02-11,Furniture,Desks,South,Consumer,2,592.19,45.54
ORD-2950,2024-02-11,Technology,Laptops,West,Consumer,7,3524.32,683.33
ORD-6493,2024-02-12,Furniture,Bookcases,Central,Home Office,2,598.31,75.85
ORD-2648,2024-02-12,Office Supplies,Pens,Central,Home Office,7,243.21,40.47
ORD-4178,2024-02-12,Furniture,Bookcases,East,Corporate,6,1637.26,141.99
ORD-3291,2024-02-12,Furniture,Tables,South,Corporate,7,1841.68,173.48
ORD-1290,2024-02-12,Technology,Monitors,West,Corporate,5,2509.75,434.63
ORD-1047,2024-02-12,Office Supplies,Pens,West,Corporate,6,260.6,45.63
ORD-1806,2024-02-12,Office Supplies,Paper,East,Home Office,6,220.36,51.76
ORD-5242,2024-02-12,Furniture,Bookcases,South,Consumer,2,494.88,52.21
ORD-1063,2024-02-12,Furniture,Chairs,Central,Home Office,5,1410.55,115.43
ORD-3605,2024-02-13,Technology,Accessories,West,Home Office,6,2465.0,447.62
ORD-6800,2024-02-13,Furniture,Tables,East,Consumer,7,2282.93,256.09
ORD-1988,2024-02-13,Furniture,Tables,South,Home Office,1,319.45,47.49
ORD-6109,2024-02-13,Technology,Printers,East,Home Office,6,2716.82,339.32
ORD-5408,2024-02-13,Furniture,Tables,East,Corporate,4,1137.55,132.8
ORD-4656,2024-02-13,Office Supplies,Binders,West,Consumer,5,222.06,50.23
